verb,noun,instruction
sell,cake,"A bakery sells large cakes that come in 16-inch diameter circles. if they use a non-repeating pattern of frosting designs on the cakes, how many different ways can they frost each cake if they want to use all the frosting they have?"
sell,loaf,"A bakery sells 240 loaves of bread per day, with a constant profit margin of 20%. if the cost price of one loaf is $0.50, how much does the bakery make in profit daily?"
sell,cookie,"A bakery sells rectangular cookies that measure 5 inches by 3 inches. if the bakery uses a recipe that requires a perimeter of exactly 24 inches, how many square inches is the area of each cookie?"
save,money,"Mr. smith has been saving money for a new bike and has $45 to spend. he can buy bikes priced $8, $12, or $16. how many different combinations of these prices can he afford with his available budget?"
save,money,"Tom has been saving money for a new bike and has $x$ dollars in his savings account. he plans to add $2y$ dollars to his account each week, where $y$ is the number of weeks he saves. if he wants to have a total of $\$$150 in his account, how many weeks will it take him? (leave answer as an expression.)"
send,package,"A company is sending a package to 5 friends, and each friend will receive an equal number of identical boxes, with no empty boxes. if the total number of boxes is 31, how many boxes should each friend receive?"
save,money,"Tom has been saving money for a new bike and has $170 in his savings account. he plans to add $15 per week and subtract $5 per week due to spending on video games. will he have enough money to buy the bike that costs $200? if not, how much more will he need?"
sell,type,"A bakery sells three types of muffins: blueberry, banana, and chocolate chip. each blueberry muffin costs $2.50, each banana muffin costs $2.00, and each chocolate chip muffin costs $3.25. if sara buys a total of 15 muffins, how much does she pay if she chooses two blueberry muffins and five banana muffins?"
contain,shelf,"A bookshelf contains three shelves, and each shelf can hold an unlimited number of books. the cost of renting a truck to deliver books to the shelf is $40 per trip, plus $5 per book. how much will it cost to deliver x books to the first shelf if x is greater than or equal to 3?"
have,box,"You have 15 boxes, each containing a certain number of marbles. the total number of marbles is 480. how many marbles are in each box?"
save,money,Tom has been saving money for a new bike and has $240 in his savings account. he wants to buy a bike that costs $3 times as much as he has saved so far. what is the cost of the bike?
sell,loaf,"A bakery sells 120 loaves of bread per day. if each loaf costs $0.75, how much does the bakery spend on bread each day?"
offer,discount,"A company offers a 20% discount on all purchases over $100. if a shirt originally priced at $80 is discounted by this amount, what is the final price of the shirt after the discount?"
save,money,"Tom has been saving money for a new bike and has $x$ dollars in his savings account. his grandmother sent him $y$ dollars for his birthday, and he also found $z$ dollars on the ground. if the total amount of money tom now has is $4 + y + z,$ and the average of his initial savings, the birthday money, and the money he found is $\frac{6}{3} = 2$, find $(x - y - z)^2$."
hold,gallon,A water tank can hold 2400 gallons of water. water flows into the tank at a rate of 5 gallons per minute during certain hours and out at a rate of 2 gallons per minute during other hours. what is the fraction of the tank that is filled every hour if one-third of the tank's capacity is filled in the first three hours?
have,box,"You have five boxes with weights inside: box 1 weighs 15 kg, box 2 weighs 7.8 kg, box 3 weighs 10 kg, box 4 weighs 2.5 kg, and box 5 weighs 32 kg. if you take all but one box away from your closet, what is the average weight of the boxes remaining?"
save,money,"Tom has been saving money for a new bike and has $t^2-49$ dollars in his savings account. if he wants to know how much he will have after 7 years, and he knows that the interest rate is 5% per year, what is the initial amount of money tom has?"
sell,type,A bakery sells a certain type of cookie that comes in packs of 12 cookies. how many packs will sarah need to buy if she wants to make 432 cookies?
plan,trip,"Maria is planning a road trip from city a to city b, which is 315 miles away. if her car gets an average of 36 miles per gallon and gas costs $\$2.75$per gallon, what will be the total cost of the trip if she drives at an average speed of 50 miles per hour?"
sell,pizza,"A bakery sells large pizzas that can be cut into 16 slices. if a slice costs$\$4$, how much will it cost to buy 20 large pizzas?"
sell,loaf,"A bakery sells 250 loaves of bread at $2 each and 300 buns at $3 each. if it takes 1.5 hours to bake a batch of 12 loaves, how much money does the bakery make in total in one hour if they operate 8 hours a day?"
have,volume,Two cubes have volumes that are in a ratio of 6:9. what is the ratio of their surface areas?
sell,total,"At a certain bakery, they sell a total of 250 loaves of bread per day. they make two kinds of bread: whole wheat and white. if they make twice as many whole wheat loaves as white loaves, how many loaves of each kind do they bake per day?"
sell,total,A bakery sells a total of 240 muffins in a day. they sell a combination of blueberry and banana muffins. the ratio of blueberry to banana muffins sold is 5:7. how many blueberry muffins were sold that day?
hold,gallon,"A water tank can hold 240 gallons of water, and it is filled to a level that is one-fourth full. if 10 gallons of water are added each day, how many days will it take to fill the tank?"
sell,type,"A bakery sells two types of cookies: chocolate chip and oatmeal raisin. they have 180 boxes of chocolate chip cookies and 120 boxes of oatmeal raisin cookies. if they sell 40% of all the boxes sold, what percentage of their revenue comes from selling oatmeal raisin cookies compared to chocolate chip cookies?"
hold,meter,A cylindrical water tank with a radius of 6 meters and height of 10 meters can hold 240 cubic meters of water. what percentage of the tank is used when it is filled to capacity?
have,type,"A company has two types of boxes, one measuring $7d^2-3d+g$ cubic feet and another measuring $3d^2+hd-8$ cubic feet. the product of these volumes is 4200 cubic feet when d = 4. what is g + h?"
sell,total,"A bakery sells a total of 480 muffins and cupcakes on friday afternoon. the ratio of blueberry muffins to chocolate chip cookies was 3:5. if each blueberry muffin costs $0.50 and each chocolate chip cookie costs $0.75, what is the total cost of all the baked goods sold?"
make,bag,"Maya is making a bag of candy to sell at school, and she has 8 bags that need to be packed with an equal number of candies in each one. if she has 192 candies, how many candies can each bag hold?"
have,term,"A sequence has fifth term 5, sixth term 9, and seventh term 13. if the first four terms form an arithmetic sequence with common difference d, what is the sum of these four terms?"
hold,liter,A water tank can hold 1200 liters of water. it is filled at a rate that causes the water level to rise by 1/4 meter every minute. how many minutes will it take to fill the tank?
travel,kilometer,"If a boat travels 45 kilometers north and then 32 kilometers south, how far east or west is it from its starting point?"
plan,trip,"Tom is planning a road trip from city a to city b, with a total distance of 240 miles. if his car gets an average of 30 miles per gallon and gas costs $2.75 per gallon, how much will it cost him to make the round trip?"
sell,cookie,"Maria's bakery sells cookies in boxes of 8 or 12 pieces. if she sold a total of 96 cookies in one day, and the number of 8-piece boxes was 6 more than the number of 12-piece boxes, what is the number of 12-piece boxes she sold?"
have,garden,"Tom has a rectangular garden with length 12 meters and width 8 meters. if he plants flowers along one side of the garden, what is the area of the portion of the garden that will remain unplanted if he plants the entire length of both the other two sides?"
have,area,A rectangle has an area of 72 square inches and a perimeter of 24 inches. what are the dimensions of the rectangle?
plan,day,"A school is planning a field day and has 15 tables set up for different activities. each table can hold either 4 people or 6 people, but not both. how many ways can the school arrange the people if there are 30 total participants?"
save,money,"Tom has been saving money for a new bike and has $240 in his piggy bank. he plans to buy a bike that costs $180. his parents have agreed to give him an allowance of $5 per week for doing chores. if he saves every penny from his allowance and all his birthday money, how much more will he need to save in order to buy the bike?"
have,box,"Tom has 18 boxes of pens, and each box contains an unknown number of pens. the total number of pens in all the boxes is a multiple of 3. if one-third of the pens in the boxes contain blue ink and one-sixth of the pens contain black ink, what is the smallest possible total number of pens that tom has?"
plan,trip,"Maria is planning a trip to a beach resort that is 240 miles away from her home. if she drives at an average speed of 40 miles per hour, how many hours will it take her to reach the resort?"
have,type,"A bakery has three types of cookies: chocolate chip, oatmeal raisin, and peanut butter. they have five dozen bags of each type of cookie available for sale. what is the total number of different ways they can be arranged on the shelves if no two bags of the same type can be placed next to each other?"
fill,tank,Tom is filling a large water tank with a hose that flows at a rate of 5 gallons per minute. the tank is being drained by another hose at a rate of 2 gallons per minute. how many minutes will it take to fill the tank in 12 hours?
save,money,"Tom has been saving money for a new bike and has $1200 to spend. he can buy bikes that cost $60, $80, or $100. if he wants to buy exactly three bikes, which combination of bikes will use up all his money?"
have,townspeople,"The town of willow creek has 5 townspeople who each contribute an equal amount to a charity fund. if they raise a total of $150, how much does each person contribute?"
paint,room,"Ahmed can paint his room in $\frac{10}{3}$ hours less than maria can. they both work alone on their respective rooms, and ahmed works twice as fast as maria. how long does it take maria to paint her room?"
sell,bag,Tom's bakery sells large bags of flour that contain either 15 pounds or 30 pounds. how many of these bags does tom need to buy in order to have exactly 60 pounds of flour?
offer,coaster,An amusement park offers a roller coaster that goes from -π/2 to π/2 radians in 6 hours. the ride starts at rest and accelerates uniformly to reach its top speed of ω₀ = 4 rad/hour. how long does it take for the roller coaster to go from 0 to √3 radians?
contain,pencil,"In a certain store, a box of pens contains 18 pencils, 22 pens, and 15 markers. if the ratio of pencils to pens is 3:5, what is the number of sets that can be made from these items? (assume that each set must contain one pencil, one pen, and one marker.)"
sell,type,"A bakery sells two types of bread: whole wheat and white. the baker bakes 100 loaves per day, with 60% being whole wheat and 40% being white. what is the average price of a loaf of bread if the total revenue from both types is$\$$600?"
form,triangle,What angle x forms an equilateral triangle with two angles of 160° each?
start,"a(0,0)$","A snail starts at rest at point $a(0,0)$ on the coordinate plane and climbs up the sides of a cone with vertex at the origin and height 10 meters, where it finally reaches point $b(10,0)$."
form,angle,"Two vectors $\mathbf{u} = \langle -2,-3\rangle$ and $\mathbf{v} = \langle 1,4\rangle$ form a right angle. what is the magnitude of the cross product of these two vectors?"
have,title,"A bookstore has 24 different titles of books on a shelf, and each book is arranged in such a way that no two adjacent books have the same title. how many possible arrangements can be made?"
plan,trip,"Tom is planning a road trip from city a to city b that is 280 miles long. if his car gets 32 miles per gallon of gas, how many gallons will he need for the entire trip?"
surround,bed,"In a rectangular garden, a path that is 4 feet wide surrounds a flower bed with an area of 12 square feet. what is the dimensions of the outer rectangle?"
earn,rate,"An investment earns an annual interest rate of 6%. if $x$ is invested at this rate, then the future value of the investment is given by the equation fv = p(1 + r)^n."
sell,pizza,"Maria's bakery sells large pizzas that come in various sizes. the ""deluxe"" pizza has a diameter of 24 inches and is cut into 16 slices, with each slice having a central angle of x degrees at the center of the pizza. what is the measure of x?"
have,bed,"Ben's family has three garden beds that they use to grow different types of flowers. if they plant 5 rows of marigolds, 4 rows of roses, and 3 rows of petunias along their shared fence, what is the total length of the fence needed for all three gardens if the length of one row of marigolds is 6 feet and one row of roses is 8 feet long?"
give,-0.05x,"In a certain city, the population growth rate is given by the equation y = -0.05x + 500, where x is the number of years and y is the population. what was the initial population of the city before any growth occurred?"
sell,type,"A bakery sells three types of cakes: vanilla, chocolate, and red velvet. the price of each type of cake is as follows: vanilla at $2 per unit, chocolate at $3 per unit, and red velvet at $4 per unit. if the total revenue from selling 48 units of these cakes is $384, how much did the bakery sell of each type of cake?"
have,field,"A farmer has two fields, one measuring $1200$ square meters and the other measuring $1800$ square meters. if she wants to divide her land equally among four families, how many square meters will each family receive if the total area of the fields combined is 3000 square meters?"
sell,loaf,"A bakery sells 250 loaves of bread at $2 per loaf, 180 loaves at $1.75 per loaf, and x loaves at $1.25 per loaf. the total sales for the day were $485. find the value of x."
play,game,"Maria and her friend, alex, are playing a game where they take turns rolling a fair six-sided die. if maria rolls the die, there is a 1/2 chance that she will roll an even number and a 1/2 chance that she will roll an odd number. if alex rolls the die, there is a 1/3 chance that he will roll an even number and a 2/3 chance that he will roll an odd number. if both start with no dice in hand, what is the probability that they will have an equal number of even and odd numbers after three rolls each?"
sell,type,"A bakery sells two types of cookies: chocolate chip and oatmeal raisin. they sell a total of 480 cookies per day. if the ratio of chocolate chip to oatmeal raisin cookies is 3:5, how many chocolate chip cookies do they sell per day?"
hold,centimeter,"A circular tank can hold 3000 cubic centimeters of water. if a small hole in the bottom of the tank allows 30 cubic centimeters of water to leak out every minute, how many minutes will it take for the tank to empty?"
sell,loaf,A bakery sells 240 loaves of bread per day. they make a profit of $0.50 per loaf if they sell it for $3.25 each and lose $0.75 per loaf if they sell it for $2.00 each. how much does the bakery need to increase its selling price to make a profit of $960 per day?
take,day,"It took $4$ days for $75$ workers, all working together at the same rate, to build an embankment. if only $50$ workers had been available, how many total days would it have taken to build the embankment? answer: let d represent the time required if there were 50 workers. then, 50d is the amount of work needed to build the embankment. set up the following proportion, where w is the number of workers: w/d = 75/4 50 / d = 75/4. to solve for d, cross-multiply, giving you 200=d*50. divide both sides by 50, yielding d=4."
have,box,Tom has 18 boxes of pencils to pack into smaller boxes that can hold 3 pencils each. how many small boxes does he need if he wants to have at least one box with 9 extra pencils?
sell,loaf,"A bakery sells 240 loaves of bread per day. if they make a profit of $0.50 per loaf, and their cost is $15 per dozen, how much will they make in a week if they operate 7 days a week."
spend,snack,"In a shopping mall, the average person spends $\$30$on snacks every two hours. if there are 120 people waiting in line, how much money will be spent on snacks during this time?"
plan,trip,"The school is planning a road trip to visit its alumni. if the distance from the school to the city where the reunion is held is given by $d(x) = 2x + 5$, and the cost of fuel per mile is $0.25, what is the total cost for the round trip if they travel at an average speed of 40 miles per hour?"
hold,gallon,"A water tank can hold 2400 gallons of water. due to a leak, 120 gallons of water flows out every minute. at the same time, 60 gallons of water flow into the tank each minute. how many minutes will it take to fill the tank?"
require,key,"In a certain country, there are three types of locks: lock a can be opened by any key, lock b requires a specific key that also opens lock c, and lock c requires a key that also opens lock a but not lock b. if 90% of all keys found in the country correspond to lock a, and 50% correspond to lock b, how many keys must the authorities seize to make sure that at least one key will open either lock a or lock b?"
contain,marble,"An urn contains nine red marbles and five white marbles. if six marbles are drawn at random, what is the probability that none of them are white?"
have,book,"A library has 500 books on a shelf, and they need to be arranged in an even number of rows so that each row will have an equal number of books. how many rows can they make with the available space if the maximum width of each book is 10 inches?"
sell,loaf,"A bakery sells 240 loaves of bread per day. if the bakery operates 7 days a week, and it takes 5 minutes to bake a loaf, how many minutes does the bakery operate per year?"
plane,trip,"Tom and alex are planing a road trip from city a to city b that is 560 miles away. their car gets an average of 30 miles per gallon, but they also want to reduce their carbon footprint by using a more fuel-efficient vehicle for part of the trip. if they use a hybrid car that gets an average of 40 miles per gallon, what will be the total cost of gas for the entire trip if they drive at an average speed of 60 mph?"
save,money,Maria has been saving money for a down payment on a house. she already has $1200 saved up in her savings account and expects to receive $2500 more next month. the amount she can borrow from a friend is $x$ dollars. what is the minimum value of x so that she will have enough money to buy a house priced at $4200?
save,money,"Jake has been saving money for a new bike and has $120 in his savings account. he plans to add $x$ dollars every month for two years. if he buys the bike after two years, what is the minimum amount of money he needs to add each month so that he can afford the bike?"
have,shelf,"A bookshelf has 8 shelves, and each shelf can hold a maximum of 12 boxes. if the bookshelf is currently empty, how many different ways can the shelves be filled with boxes, assuming that no box can be placed on top of another?"
have,flight,"An airline has three flights leaving from new york city to los angeles. flights dl-101, dl-102, and dl-103 have departure times of 7:00 am, 8:30 am, and 10:00 am respectively. the flight duration of each flight is as follows: - flight dl-101 takes off after flight dl-102 - flight dl-102 takes off before flight dl-103 - the total travel time for all three flights is 13 hours what time will the third flight depart if the first flight departs exactly 2 hours after the second flight?"
have,box,"A warehouse has two identical boxes, labeled a and b, which contain certain amounts of oranges. box a contains 3 times as many oranges as box b. if box a contains x + 2 oranges and box b contains x - 1 oranges, where x is a positive integer. how many oranges does each box actually have?"
sell,total,"A bakery sells a total of 250 loaves of bread per day. they make $5\%$ profit on whole wheat loaves and $10\%$ profit on white bread. if they sell 30 more whole wheat loaves than white bread, how many dozen loaves do they sell each?"
sell,total,"A bakery sells a total of 480 muffins and cakes on a certain day. if they sold x number of muffins and (480-x) number of cakes, and the profit from each muffin is $0.50 and each cake is $0.75, how much money did the bakery make in total?"
find,area,Find the surface area of a sphere with a diameter of 14 cm.
have,length,"In a triangle, two sides have lengths 5 cm and 6 cm. the third side has length x. what is the positive difference between the greatest and least possible integral values of x?"
have,area,"In a local park, a rectangular pond has an area of 1080 square meters and a perimeter of 60 meters. if the length of one side is 24 meters, what is the length of the other side?"
own,plot,"Maria's family owns three plots of land with dimensions 300m x 50m, 200m x 100m, and 150m x 75m. if they want to build a fence around all three plots together, and the cost of fencing is $5 per meter, what is the total amount they will spend on the fence?"
have,height,"A cylindrical candle holder has a height of 12 cm and a radius of 4 cm. if the surface area of the outside of the cylinder is 96 square cm, what is the value of the variable x, which represents the length of the side of a rectangular strip that will be wrapped around the base of the cylinder?"
hold,centimeter,A cylindrical water tank can hold 4800 cubic centimeters of water. it is filled at a rate that increases by 300 cubic centimeters every minute. how many minutes does it take to fill the entire tank if the first 200 cubic centimeters were already filled before the clock started?
charge,price,"At a certain shopping mall, a large-screen movie theater charges a base price of $\$8$ plus an additional$\$0.50$ per person for tickets. if the total revenue generated by the theater on friday was $\$960$, how many people attended the movie?"
take,exam,"In order to get the highest possible score on a math test, a student takes three exams: algebra, geometry, and calculus. she gets full credit on the algebra exam (90%), partial credit on the geometry exam (80% of what she could have gotten), and zero credit on the calculus exam. if her total score is 84%, what percentage of the maximum score did she earn on the geometry exam?"
sell,loaf,"A bakery sells 480 loaves of bread per day. if they sell a combination of whole wheat and white bread, and the total number of loaves sold is divisible by both 8 and 15, what is the minimum number of whole wheat loaves that must be sold each day?"
sell,pie,"A bakery sells pies by the dozen. if a dozen large pies sells for $\$360$, how much will a half-dozen small pies sell for?"
have,box,"Maria has 15 boxes of pens, with some containing 8 packs and others containing 9 packs. if she wants to buy more pens in bundles of 12, how many bundles will she need?"
sell,total,A bakery sells a total of 240 muffins per day. they sell two types of muffins: blueberry and banana. the ratio of blueberries to bananas is 3:5. how many blueberry muffins does the bakery sell per day?
sell,loaf,"A bakery sells over 500 loaves of bread per day. on certain days, it sells x% more or less than this average amount. if the number of loaves sold on these days deviates from the average by exactly $\frac{1}{4}$ loaf per day, what percentage does it deviate from the average amount?"
sell,total,"A bakery sells a total of 480 muffins in two days. the number of blueberry muffins sold on monday is 20% more than the number of chocolate muffins sold on sunday. if x represents the number of chocolate muffins sold on sunday, what is the value of x?"
reflect,surface,"At a music festival, a sound wave with a frequency of 500 hz is reflected off a metal surface and travels through a tunnel that is 15 meters long. the reflection has a phase shift of $90^\circ$. what is the amplitude of the resulting wave?"
surround,flowerbed,"In a rectangular garden, a path that is 10 feet wide surrounds a flowerbed that measures 8 feet by 12 feet. find the area of the shaded region."
sell,loaf,"A bakery sells 240 loaves of bread per day. if each loaf costs $2.50, and there is a 10% sales tax, how much money does the bakery make in one day?"
save,money,"Maria has been saving money for a new bike and has $385 in her savings account. she plans to add $x more dollars each week from now until she buys the bike, which costs $495. if she wants to buy the bike as soon as possible, how much should she save each week?"
represent,value,"In base-5, the number 120 represents the value of x + y, where both x and y are single-digit numbers (0 - 4). what are the values of x and y?"
have,digit,"In base-12 number system, a three-digit number $xyz$ has the digits $x=6$, $y=8$, and $z=9$. find the value of $100x + 12y + z$."
sell,cookie,"A bakery sells cookies in packs of 6 or 12. if a customer buys a pack of 24 cookies, how many packs can they buy with the remaining cookies?"
find,number,"Find the number of functions $f : \mathbb{r} \to \mathbb{r}$ such that \[f(x + y) f(x - y) = (f(x) + f(y))^2 - 4x^2 f(y)\]for all real numbers $x$ and $y. this problem seems to require understanding function properties, such as the behavior under addition and multiplication. using algebraic manipulation might help identify patterns and constraints on possible solutions for this functional equation."
suppose,\co,"Suppose $\cos x =0$ and $\cos(x+z)= \frac{1}{2}$. what is the smallest possible positive value of $z,$ in radians? understanding trigonometry principles related to cosine's periodic nature and angle relationships will be necessary here. these conditions seem to relate to angles where cosine values equal zero and known fractions within a unit circle."
produce,product,"A company is producing a certain product and wants to create an advertisement that will maximize sales. the advertisement has two factors that can be adjusted: the size of the font and the background color. if the size of the font is increased by 3 units, the ad generates $x$ more dollars in revenue, and if the background color is changed from blue to red, the ad generates $k$ more dollars in revenue. how can you choose values for $x$ and $k$ to make the advertisement generate exactly $1000$ dollars in revenue?"
plan,trip,"A school is planning a road trip from city a to city b that takes 3 hours and 45 minutes, or 225 minutes. if two cars leave at the same time, one traveling at 60 km/h and the other at 80 km/h, what is their relative speed when they meet?"
fly,mile,"An aircraft flying from city x to city y at an altitude of 20000 ft flies 840 miles in 2 hours. if it flies at the same speed on the return trip, how many miles per hour is its average speed?"
sell,muffin,"A bakery sells 480 muffins per day. if they make muffin tops and bottoms from a mixture of flour, sugar, and eggs, and each muffin uses 0.75 cups of batter, how many cups of batter does the bakery use per day to make muffin tops and bottoms for 480 muffins?"
have,cupcake,A bakery has 24 cupcakes in boxes that hold 4 cupcakes each. how many boxes of cupcakes does it take to have 120 cupcakes?
sell,total,"A bakery sells a total of 240 loaves of bread per day, with a certain number of whole wheat loaves and rye loaves. the ratio of whole wheat to rye is 3:5. if they sell 30 more whole wheat loaves than rye loaves, how many dozen whole wheat loaves do they sell?"
cut,triangle,Two parallel lines with slopes -3/7 and 3/5 cut off two congruent triangles from a rectangle with dimensions 14 units by 8 units. find the area of the remaining rectangle.
have,shelf,"A local bookstore has three shelves of novels, one with fiction, one with non-fiction and one with textbooks. if they have $3x + 5$ novels in the fiction section, $2x - 4$ in the non-fiction section, and $x + 7$ textbooks, what is the value of x that will allow them to have a total of 126 books on these three shelves?"
find,product,"In a regular decagon with $p_1$ at $(1,0)$ and $p_6$ at $(3,0),$ find the product of the complex numbers corresponding to each vertex."
have,base,"A rectangular prism has a base that is a right triangle with legs of length 8 and 10 inches, and an altitude of 6 inches. find the volume of this prism in cubic inches, expressed as a fraction in simplest form."
sell,type,"Maria's bakery sells three types of cakes: vanilla, chocolate, and red velvet. on a typical day, the number of each type of cake sold follows this sequence: 8, 10, 12, 14, .... what is the total number of cakes sold on the fifth day if the bakery opens at 8am and closes at 9pm, with an hour for lunch from 2-3pm?"
receive,%,"In a school election, candidate smith received 25% of the total votes, while candidate johnson received 35% of the total votes. if the total number of votes was 560, how many votes did smith receive?"
hold,gallon,"A water tank can hold 1200 gallons of water. due to a leak, the tank loses 5% of its water every day. on the first day, it loses 12 gallons of water. what is the amount of water remaining after three days?"
have,box,"You have 15 identical boxes, each containing a different positive integer from 1 to 15. how many ways can you arrange these boxes so that no two adjacent boxes contain consecutive integers?"
have,gdps,"Three consecutive years have gdps of $450,$ $500,$ and $550.$ what is the average annual growth rate for these three years?"
have,length,"A rectangular garden has a length of 15 meters, and its width is 8 meters more than its height. if the area of the garden is 168 square meters, what is the height of the garden?"
have,box,"You have 24 boxes of pens, and each box contains 18 pens. however, some of the pens may be damaged. if the total number of functional pens is 90% of the total number of pens, how many pens are not functioning properly?"
sell,type,"A bakery sells three types of muffins: blueberry, banana, and cinnamon. the baker can make 120 muffins in a single batch. how many batches will she need to bake if she wants to sell each type of muffin for $2, $3, and $4, respectively?"
have,collection,"The library has a collection of 240 books, which are to be shelved on shelves that can hold either 12 or 15 books each. how many shelves will be needed to store all of the books?"
have,sale,A bakery is having a sale on bread. they offer two types of bread: whole wheat and white. the price of a loaf of whole wheat bread is $2.50 more than twice the price of a loaf of white bread. the total cost of 5 loaves of each type of bread together is $15.00. what is the price of one loaf of white bread?
hold,gallon,"A water tank can hold 240 gallons of water. due to a leak, the tank loses 10% of its capacity every hour. how many hours will it take for the tank to be filled with water at a rate of 40 gallons per hour until it's full?"
have,angle,"Triangle $abc$ has a right angle at $c$, $ac=3$ and $bc=4$. triangle $abd$ has a right angle at $a$ and $ad=12$. points $c$ and $d$ are on opposite sides of $\overline{ab}$. the line through $d$ parallel to $\overline{ac}$ meets $\overline{cb}$ extended at $e$. if$\frac{de}{db}=\frac{m}{n},$where $m$ and $n$ are relatively prime positive integers, then $m+n=$"
save,money,"Tom has been saving money for a new bike and has $240 in his savings account. he plans to add $x$ dollars each week for 12 weeks. if he doesn't spend any of his savings, how much will he have at the end of the twelfth week?"
have,sale,"A bakery is having a sale on bread. they offer a ""buy one get one free"" deal on whole wheat bread. if you buy two loaves of whole wheat bread at the sale price, you can get three loaves for the price of two. how much would you pay for three loaves of whole wheat bread during this sale?"
sell,type,"A bakery sells two types of bread: whole wheat and white. the bakery receives a delivery of flour that contains enough ingredients to make 240 loaves of whole wheat bread and 320 loaves of white bread. if they sell an average of 120 loaves per day, how many days will it take for the bakery to use up all the flour?"
save,money,"Tom has been saving money for a new bike and has $240 in his piggy bank. he wants to buy a bike that costs $180. his parents have agreed to give him an allowance of $5 per week for doing chores. however, they will also take away $2 from his allowance if he leaves his toys out overnight. if tom's brother borrows $15 from him and gives it back after 3 days with interest at a rate of 10% per day, how many weeks does it take for tom to save enough money to buy the bike?"
sell,type,"A bakery sells two types of bread: whole wheat and white. the ratio of whole wheat to white bread is 3:4. if the bakery sells 480 loaves of bread per day, and each loaf costs $2.50, what is the revenue of the bakery?"
have,box,"Tom has 18 boxes of pens to package and pack them into bags of 3, with no box left over. what is the largest number of different sizes of bags he can have?"
have,temperature,"In a recent year, a certain city had an average temperature of 55°f (10°c) during the day and 48°f (9°c) at night. if there were 31 days in that month, what was the total heat energy used by heating systems throughout the city?"
produce,type,"A company produces two types of widgets: square and rectangular. the cost for producing one square widget is $5 and one rectangular widget is $6. given that the profit from selling one widget is $4, how many more units of rectangular widgets should they produce compared to square widgets to ensure their total profit remains constant?"
have,section,"A garden has three sections. one section has flowers that bloom only once every six months, another section blooms twice a year, and the third section blooms four times a year. if a gardener waters each section equally every month, which section requires the least amount of watering?"
charge,fee,"An online retailer charges an $8 flat rate shipping fee plus an additional $0.50 for every item sold. if a customer purchases x items, which of the following inequalities best models the cost c(x)? c( x ) > 8 + .50x c( x )<8+ .50x c( x )>8+ .50x c( x ) < 8+ .50x"
hold,liter,"A water tank can hold 1000 liters of water. water flows into the tank at a rate of 8 liters per minute and leaks out at a rate of 2 liters per minute. at what rate, in liters per minute, does the tank fill or empty when it contains exactly half its capacity?"
have,classroom,"A school has 15 classrooms, and each classroom can accommodate at most 25 students. if 3/5 of the students from a particular district will attend school on friday, and the total number of students in that district is x, what is the maximum possible value of x?"
plan,trip,Tom's family is planning a road trip. they have two bags: one with 180 pounds of snacks and another with 120 pounds of water. their car can hold a total of 2400 pounds of cargo space. what fraction of the car's capacity is used by the bags?
give,-0.05x,"The annual population growth rate for a certain city is given by the equation y = -0.05x + 200, where y is the population (in thousands) and x is the number of years after 2010. what is the year when the population will be 7 thousand people?"
plan,event,"A school is planning a field day event and wants to set up rows of chairs for students to sit in. the length of each row must be divisible by 4, and the total number of rows should be between 9 and 20. what is the possible length of each row?"
sell,average,"A bakery sells an average of 250 loaves of bread per day. if they make their money from selling either whole wheat or white bread, and the profit on each loaf of whole wheat bread is $\$0.50$, while the profit on each loaf of white bread is $\$0.25$, how much money does the bakery make in a week?"
build,garden,"Tom is building a rectangular garden that will be 4 feet longer in length, and 3 feet taller than it is now. if the current length of the garden is $l$ feet, what is the new length of the garden?"
sell,loaf,"A bakery sells 250 loaves of bread per day. they make a profit of $0.50 per loaf if it's sold within an hour of being baked, and $1.00 per loaf if it's not. what is the maximum daily profit the bakery can make?"
plan,day,"A school is planning a field day and has 15 students on its basketball team. if each student plays exactly 3 quarters in every game, how many minutes does the entire team play in one game?"
plan,trip,"Tom's parents are planning a road trip from city a to city b. the distance between the two cities is 240 miles, and they plan to drive at an average speed of 40 mph. how many hours will the trip take?"
have,row,"A bakery has 18 rows of cupcakes in a display case, with 8 cupcakes in each row. if they want to put an equal number of cupcakes in boxes that will hold 3 cups at a time, how many boxes can they fill?"
surround,area,"In a rectangular garden, a path that is 5 meters wide surrounds a grassy area. if the length of the rectangle is 15 meters more than its width, what is the perimeter of the grassy area?"
sell,total,"A bakery sells a total of 240 loaves of bread per day. they make $2 \times$ the profit on small loaves and $\frac{3}{4}$ the profit on large loaves. if they make a total profit of $720 in a day, how many small loaves do they sell?"
save,money,Maya has been saving money for a new bike and has $480 in her savings account. she plans to add $x amount of money every month for two years. how much will she have saved if she saves at a rate that is 10% more than the previous month's savings?
save,money,"Maria has been saving money for a new bike and has $\$120$ in her savings account. each bike she chooses costs between$\$50$and$\$200$, and she wants to spend as much of her money as possible on one bike while still having enough left over to buy a helmet that costs$\$30$. what is the largest amount she can spend on the bike?"
find,length,"In a circle with radius 10 cm, find the length of the arc subtended by a central angle of 75°."
save,money,"Tom has been saving money for a new bike and has $120 in his piggy bank. each week, he saves twice as much as the previous week. if he already saved $12 last week, how many weeks will it take him to have at least $250?"
sell,loaf,A bakery sells 240 loaves of bread per day. they package each loaf in boxes of 6. how many boxes do they need to be filled with bread every 8 hours?
